DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-04-22,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,289.42,106.35,182.06,0.0,43.34,%,107.36,37.94,78.94,631.47,90439.09,0.0,,production,OP
2014-04-23,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,270.24,107.64,171.05,,47.17,%,99.19,60.76,70.63,1166.46,165720.39,0.0,,production,OP
2014-04-24,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,262.84,107.87,168.24,,47.73,%,94.6,63.05,66.05,1549.81,221707.31,0.0,,production,OP
2014-04-25,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,255.53,107.97,165.54,,48.53,%,89.99,64.55,61.41,1248.7,178063.52,0.0,,production,OP
2014-04-26,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,247.2,108.05,162.42,,49.84,%,84.78,65.72,56.15,1345.78,192602.19,0.0,,production,OP
2014-04-27,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,240.74,108.05,159.9,,50.3,%,80.84,66.93,52.2,1349.56,194496.27,0.0,,production,OP
2014-04-28,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,235.02,108.04,157.68,,50.74,%,77.34,67.85,48.71,1345.61,192899.71,0.0,,production,OP
2014-04-29,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,232.74,107.99,156.79,,50.11,%,75.95,65.71,47.38,1279.46,184900.31,0.0,,production,OP
2014-04-30,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,233.3,107.89,157.18,,48.93,%,76.12,62.8,47.61,1225.62,177107.86,0.0,,production,OP
2014-05-01,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,231.09,107.88,156.4,,48.94,%,74.69,62.38,46.2,1212.9,174608.88,0.0,,production,OP
2014-05-02,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,231.42,107.82,156.69,,48.3,%,74.73,60.75,46.15,1074.04,154870.67,0.0,,production,OP
2014-05-03,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,230.77,107.8,156.61,,48.17,%,74.16,60.63,45.73,1044.17,147929.93,0.0,,production,OP
2014-05-04,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,230.6,107.76,156.69,,47.47,%,73.91,58.28,45.49,970.2,139378.45,0.0,,production,OP
2014-05-05,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,229.42,107.78,156.43,,47.84,%,72.99,54.9,44.55,946.12,136980.49,0.0,,production,OP
2014-05-06,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,225.9,107.86,154.95,,49.01,%,70.95,58.88,42.45,1002.83,144950.15,0.0,,production,OP
2014-05-07,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,225.77,107.84,155.06,,47.92,%,70.71,57.43,42.05,925.31,135000.24,0.0,,production,OP
2014-05-08,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,225.69,107.82,155.14,,47.3,%,70.55,57.66,41.16,913.86,127564.51,0.0,,production,OP
2014-05-09,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,13.83,227.8,107.6,156.85,,29.13,%,70.95,55.96,41.75,176.8,24322.7,0.0,,production,OP
2014-05-10,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,226.06,107.68,155.16,,48.13,%,70.9,57.37,41.9,944.19,52162.58,0.0,,production,OP
2014-05-11,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,225.1,107.84,155.16,,47.49,%,69.94,58.02,41.48,823.41,117731.72,0.0,,production,OP
